"Jurisdiction","Precinct","Race","Candidate","Votes"
"Clark","1722 - HEN","Governor","Sandoval, Brian","372"
"Clark","1722 - HEN","Governor","VanDerBeek, David Lory","1"
"Clark","1727 - HEN","Governor","Goodman, Robert ""Bob""","184"
"Clark","1727 - HEN","Governor","None Of These Candidates","15"
"Clark","1727 - HEN","Governor","Sandoval, Brian","741"
"Clark","1727 - HEN","Governor","VanDerBeek, David Lory","18"
"Clark","1732 - COUNTY","Governor","Goodman, Robert ""Bob""","9"
"Clark","1732 - COUNTY","Governor","None Of These Candidates","1"
"Clark","1732 - COUNTY","Governor","Sandoval, Brian","18"
"Clark","1732 - COUNTY","Governor","VanDerBeek, David Lory","1"
"Clark","1750 - COUNTY","Governor","Goodman, Robert ""Bob""","89"
"Clark","1750 - COUNTY","Governor","None Of These Candidates","15"
"Clark","1750 - COUNTY","Governor","Sandoval, Brian","319"
"Clark","1750 - COUNTY","Governor","VanDerBeek, David Lory","17"
"Clark","1751 - COUNTY","Governor","Goodman, Robert ""Bob""","75"
"Clark","1751 - COUNTY","Governor","None Of These Candidates","7"
"Clark","1751 - COUNTY","Governor","Sandoval, Brian","463"
"Clark","1751 - COUNTY","Governor","VanDerBeek, David Lory","6"
"Clark","2008 - NLV","Governor","Goodman, Robert ""Bob""","114"
"Clark","2008 - NLV","Governor","None Of These Candidates","9"
"Clark","2008 - NLV","Governor","Sandoval, Brian","331"
"Clark","2008 - NLV","Governor","VanDerBeek, David Lory","23"
"Clark","2037 - LAS","Governor","Goodman, Robert ""Bob""","126"
"Clark","2037 - LAS","Governor","None Of These Candidates","21"
"Clark","2037 - LAS","Governor","Sandoval, Brian","385"
"Clark","2037 - LAS","Governor","VanDerBeek, David Lory","9"
"Clark","2044 - LAS","Governor","Goodman, Robert ""Bob""","162"
"Clark","2044 - LAS","Governor","None Of These Candidates","19"
"Clark","2044 - LAS","Governor","Sandoval, Brian","474"
"Clark","2044 - LAS","Governor","VanDerBeek, David Lory","23"
"Clark","2078 - COUNTY","Governor","Goodman, Robert ""Bob""","11"
"Clark","2078 - COUNTY","Governor","None Of These Candidates","6"
"Clark","2078 - COUNTY","Governor","Sandoval, Brian","91"
"Clark","2078 - COUNTY","Governor","VanDerBeek, David Lory","4"
"Clark","2126 - COUNTY","Governor","Goodman, Robert ""Bob""","63"
"Clark","2126 - COUNTY","Governor","None Of These Candidates","3"
"Clark","2126 - COUNTY","Governor","Sandoval, Brian","122"
"Clark","2126 - COUNTY","Governor","VanDerBeek, David Lory","7"
"Clark","2352 - LAS","Governor","Goodman, Robert ""Bob""","80"
"Clark","2352 - LAS","Governor","None Of These Candidates","17"
"Clark","2352 - LAS","Governor","Sandoval, Brian","317"
"Clark","2352 - LAS","Governor","VanDerBeek, David Lory","9"
"Clark","2353 - LAS","Governor","Goodman, Robert ""Bob""","127"
"Clark","2353 - LAS","Governor","None Of These Candidates","17"
"Clark","2353 - LAS","Governor","Sandoval, Brian","530"
"Clark","2353 - LAS","Governor","VanDerBeek, David Lory","15"
"Clark","2354 - LAS","Governor","Goodman, Robert ""Bob""","104"
"Clark","2354 - LAS","Governor","None Of These Candidates","8"
"Clark","2354 - LAS","Governor","Sandoval, Brian","239"
"Clark","2354 - LAS","Governor","VanDerBeek, David Lory","12"
"Clark","2356 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2356 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2356 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2356 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2360 - NLV","Governor","Goodman, Robert ""Bob""","204"
"Clark","2360 - NLV","Governor","None Of These Candidates","14"
"Clark","2360 - NLV","Governor","Sandoval, Brian","236"
"Clark","2360 - NLV","Governor","VanDerBeek, David Lory","6"
"Clark","2366 - NLV","Governor","Goodman, Robert ""Bob""","192"
"Clark","2366 - NLV","Governor","None Of These Candidates","13"
"Clark","2366 - NLV","Governor","Sandoval, Brian","301"
"Clark","2366 - NLV","Governor","VanDerBeek, David Lory","18"
"Clark","2371 - NLV","Governor","Goodman, Robert ""Bob""","121"
"Clark","2371 - NLV","Governor","None Of These Candidates","9"
"Clark","2371 - NLV","Governor","Sandoval, Brian","254"
"Clark","2371 - NLV","Governor","VanDerBeek, David Lory","12"
"Clark","2372 - NLV","Governor","Goodman, Robert ""Bob""","137"
"Clark","2372 - NLV","Governor","None Of These Candidates","11"
"Clark","2372 - NLV","Governor","Sandoval, Brian","205"
"Clark","2372 - NLV","Governor","VanDerBeek, David Lory","9"
"Clark","2373 - NLV","Governor","Goodman, Robert ""Bob""","132"
"Clark","2373 - NLV","Governor","None Of These Candidates","12"
"Clark","2373 - NLV","Governor","Sandoval, Brian","209"
"Clark","2373 - NLV","Governor","VanDerBeek, David Lory","10"
"Clark","2380 - NLV","Governor","Goodman, Robert ""Bob""","165"
"Clark","2380 - NLV","Governor","None Of These Candidates","11"
"Clark","2380 - NLV","Governor","Sandoval, Brian","235"
"Clark","2380 - NLV","Governor","VanDerBeek, David Lory","8"
"Clark","2381 - NLV","Governor","Goodman, Robert ""Bob""","230"
"Clark","2381 - NLV","Governor","None Of These Candidates","12"
"Clark","2381 - NLV","Governor","Sandoval, Brian","275"
"Clark","2381 - NLV","Governor","VanDerBeek, David Lory","15"
"Clark","2382 - NLV","Governor","Goodman, Robert ""Bob""","233"
"Clark","2382 - NLV","Governor","None Of These Candidates","15"
"Clark","2382 - NLV","Governor","Sandoval, Brian","240"
"Clark","2382 - NLV","Governor","VanDerBeek, David Lory","14"
"Clark","2383 - NLV","Governor","Goodman, Robert ""Bob""","224"
"Clark","2383 - NLV","Governor","None Of These Candidates","24"
"Clark","2383 - NLV","Governor","Sandoval, Brian","293"
"Clark","2383 - NLV","Governor","VanDerBeek, David Lory","12"
"Clark","2384 - NLV","Governor","Goodman, Robert ""Bob""","165"
"Clark","2384 - NLV","Governor","None Of These Candidates","10"
"Clark","2384 - NLV","Governor","Sandoval, Brian","314"
"Clark","2384 - NLV","Governor","VanDerBeek, David Lory","14"
"Clark","2385 - NLV","Governor","Goodman, Robert ""Bob""","110"
"Clark","2385 - NLV","Governor","None Of These Candidates","3"
"Clark","2385 - NLV","Governor","Sandoval, Brian","205"
"Clark","2385 - NLV","Governor","VanDerBeek, David Lory","9"
"Clark","2386 - NLV","Governor","Goodman, Robert ""Bob""","179"
"Clark","2386 - NLV","Governor","None Of These Candidates","4"
"Clark","2386 - NLV","Governor","Sandoval, Brian","321"
"Clark","2386 - NLV","Governor","VanDerBeek, David Lory","20"
"Clark","2387 - NLV","Governor","Goodman, Robert ""Bob""","168"
"Clark","2387 - NLV","Governor","None Of These Candidates","20"
"Clark","2387 - NLV","Governor","Sandoval, Brian","268"
"Clark","2387 - NLV","Governor","VanDerBeek, David Lory","7"
"Clark","2390 - NLV","Governor","Goodman, Robert ""Bob""","164"
"Clark","2390 - NLV","Governor","None Of These Candidates","13"
"Clark","2390 - NLV","Governor","Sandoval, Brian","301"
"Clark","2390 - NLV","Governor","VanDerBeek, David Lory","11"
"Clark","2391 - NLV","Governor","Goodman, Robert ""Bob""","106"
"Clark","2391 - NLV","Governor","None Of These Candidates","10"
"Clark","2391 - NLV","Governor","Sandoval, Brian","256"
"Clark","2391 - NLV","Governor","VanDerBeek, David Lory","18"
"Clark","2392 - NLV","Governor","Goodman, Robert ""Bob""","135"
"Clark","2392 - NLV","Governor","None Of These Candidates","13"
"Clark","2392 - NLV","Governor","Sandoval, Brian","215"
"Clark","2392 - NLV","Governor","VanDerBeek, David Lory","7"
"Clark","2393 - NLV","Governor","Goodman, Robert ""Bob""","165"
"Clark","2393 - NLV","Governor","None Of These Candidates","18"
"Clark","2393 - NLV","Governor","Sandoval, Brian","320"
"Clark","2393 - NLV","Governor","VanDerBeek, David Lory","18"
"Clark","2394 - NLV","Governor","Goodman, Robert ""Bob""","197"
"Clark","2394 - NLV","Governor","None Of These Candidates","8"
"Clark","2394 - NLV","Governor","Sandoval, Brian","238"
"Clark","2394 - NLV","Governor","VanDerBeek, David Lory","11"
"Clark","2400 - NLV","Governor","Goodman, Robert ""Bob""","224"
"Clark","2400 - NLV","Governor","None Of These Candidates","21"
"Clark","2400 - NLV","Governor","Sandoval, Brian","247"
"Clark","2400 - NLV","Governor","VanDerBeek, David Lory","13"
"Clark","2401 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2401 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2401 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2401 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2405 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2405 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2405 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2405 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2406 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2406 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2406 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2406 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2407 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2407 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2407 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2407 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2408 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2408 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2408 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2408 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2409 - NLV","Governor","Goodman, Robert ""Bob""","207"
"Clark","2409 - NLV","Governor","None Of These Candidates","14"
"Clark","2409 - NLV","Governor","Sandoval, Brian","311"
"Clark","2409 - NLV","Governor","VanDerBeek, David Lory","10"
"Clark","2417 - COUNTY","Governor","Goodman, Robert ""Bob""","9"
"Clark","2417 - COUNTY","Governor","None Of These Candidates","1"
"Clark","2417 - COUNTY","Governor","Sandoval, Brian","19"
"Clark","2417 - COUNTY","Governor","VanDerBeek, David Lory","4"
"Clark","2430 - COUNTY","Governor","Goodman, Robert ""Bob""","134"
"Clark","2430 - COUNTY","Governor","None Of These Candidates","10"
"Clark","2430 - COUNTY","Governor","Sandoval, Brian","186"
"Clark","2430 - COUNTY","Governor","VanDerBeek, David Lory","16"
"Clark","2436 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2436 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2436 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2436 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2440 - NLV","Governor","Goodman, Robert ""Bob""","236"
"Clark","2440 - NLV","Governor","None Of These Candidates","14"
"Clark","2440 - NLV","Governor","Sandoval, Brian","688"
"Clark","2440 - NLV","Governor","VanDerBeek, David Lory","10"
"Clark","2444 - COUNTY","Governor","Goodman, Robert ""Bob""","41"
"Clark","2444 - COUNTY","Governor","None Of These Candidates","2"
"Clark","2444 - COUNTY","Governor","Sandoval, Brian","105"
"Clark","2444 - COUNTY","Governor","VanDerBeek, David Lory","4"
"Clark","2445 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2445 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2445 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2445 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2446 - NLV","Governor","Goodman, Robert ""Bob""","209"
"Clark","2446 - NLV","Governor","None Of These Candidates","23"
"Clark","2446 - NLV","Governor","Sandoval, Brian","277"
"Clark","2446 - NLV","Governor","VanDerBeek, David Lory","17"
"Clark","2447 - NLV","Governor","Goodman, Robert ""Bob""","*"
"Clark","2447 - NLV","Governor","None Of These Candidates","*"
"Clark","2447 - NLV","Governor","Sandoval, Brian","*"
"Clark","2447 - NLV","Governor","VanDerBeek, David Lory","*"
"Clark","2449 - NLV","Governor","Goodman, Robert ""Bob""","190"
"Clark","2449 - NLV","Governor","None Of These Candidates","20"
"Clark","2449 - NLV","Governor","Sandoval, Brian","337"
"Clark","2449 - NLV","Governor","VanDerBeek, David Lory","11"
"Clark","2456 - NLV","Governor","Goodman, Robert ""Bob""","133"
"Clark","2456 - NLV","Governor","None Of These Candidates","7"
"Clark","2456 - NLV","Governor","Sandoval, Brian","193"
"Clark","2456 - NLV","Governor","VanDerBeek, David Lory","8"
"Clark","2457 - NLV","Governor","Goodman, Robert ""Bob""","216"
"Clark","2457 - NLV","Governor","None Of These Candidates","18"
"Clark","2457 - NLV","Governor","Sandoval, Brian","488"
"Clark","2457 - NLV","Governor","VanDerBeek, David Lory","19"
"Clark","2458 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2458 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2458 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2458 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2463 - NLV","Governor","Goodman, Robert ""Bob""","244"
"Clark","2463 - NLV","Governor","None Of These Candidates","12"
"Clark","2463 - NLV","Governor","Sandoval, Brian","230"
"Clark","2463 - NLV","Governor","VanDerBeek, David Lory","12"
"Clark","2464 - NLV","Governor","Goodman, Robert ""Bob""","207"
"Clark","2464 - NLV","Governor","None Of These Candidates","17"
"Clark","2464 - NLV","Governor","Sandoval, Brian","461"
"Clark","2464 - NLV","Governor","VanDerBeek, David Lory","11"
"Clark","2465 - MES","Governor","Goodman, Robert ""Bob""","81"
"Clark","2465 - MES","Governor","None Of These Candidates","9"
"Clark","2465 - MES","Governor","Sandoval, Brian","425"
"Clark","2465 - MES","Governor","VanDerBeek, David Lory","11"
"Clark","2466 - MES","Governor","Goodman, Robert ""Bob""","136"
"Clark","2466 - MES","Governor","None Of These Candidates","17"
"Clark","2466 - MES","Governor","Sandoval, Brian","549"
"Clark","2466 - MES","Governor","VanDerBeek, David Lory","13"
"Clark","2468 - MES","Governor","Goodman, Robert ""Bob""","*"
"Clark","2468 - MES","Governor","None Of These Candidates","*"
"Clark","2468 - MES","Governor","Sandoval, Brian","*"
"Clark","2468 - MES","Governor","VanDerBeek, David Lory","*"
"Clark","2469 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2469 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2469 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2469 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2473 - COUNTY","Governor","Goodman, Robert ""Bob""","17"
"Clark","2473 - COUNTY","Governor","None Of These Candidates","9"
"Clark","2473 - COUNTY","Governor","Sandoval, Brian","262"
"Clark","2473 - COUNTY","Governor","VanDerBeek, David Lory","12"
"Clark","2476 - COUNTY","Governor","Goodman, Robert ""Bob""","45"
"Clark","2476 - COUNTY","Governor","None Of These Candidates","15"
"Clark","2476 - COUNTY","Governor","Sandoval, Brian","718"
"Clark","2476 - COUNTY","Governor","VanDerBeek, David Lory","20"
"Clark","2477 - MES","Governor","Goodman, Robert ""Bob""","66"
"Clark","2477 - MES","Governor","None Of These Candidates","4"
"Clark","2477 - MES","Governor","Sandoval, Brian","337"
"Clark","2477 - MES","Governor","VanDerBeek, David Lory","7"
"Clark","2479 - NLV","Governor","Goodman, Robert ""Bob""","158"
"Clark","2479 - NLV","Governor","None Of These Candidates","13"
"Clark","2479 - NLV","Governor","Sandoval, Brian","281"
"Clark","2479 - NLV","Governor","VanDerBeek, David Lory","11"
"Clark","2480 - NLV","Governor","Goodman, Robert ""Bob""","218"
"Clark","2480 - NLV","Governor","None Of These Candidates","12"
"Clark","2480 - NLV","Governor","Sandoval, Brian","372"
"Clark","2480 - NLV","Governor","VanDerBeek, David Lory","10"
"Clark","2481 - NLV","Governor","Goodman, Robert ""Bob""","193"
"Clark","2481 - NLV","Governor","None Of These Candidates","12"
"Clark","2481 - NLV","Governor","Sandoval, Brian","199"
"Clark","2481 - NLV","Governor","VanDerBeek, David Lory","7"
"Clark","2483 - NLV","Governor","Goodman, Robert ""Bob""","205"
"Clark","2483 - NLV","Governor","None Of These Candidates","10"
"Clark","2483 - NLV","Governor","Sandoval, Brian","204"
"Clark","2483 - NLV","Governor","VanDerBeek, David Lory","14"
"Clark","2484 - NLV","Governor","Goodman, Robert ""Bob""","200"
"Clark","2484 - NLV","Governor","None Of These Candidates","22"
"Clark","2484 - NLV","Governor","Sandoval, Brian","334"
"Clark","2484 - NLV","Governor","VanDerBeek, David Lory","16"
"Clark","2500 - NLV","Governor","Goodman, Robert ""Bob""","169"
"Clark","2500 - NLV","Governor","None Of These Candidates","13"
"Clark","2500 - NLV","Governor","Sandoval, Brian","566"
"Clark","2500 - NLV","Governor","VanDerBeek, David Lory","6"
"Clark","2501 - COUNTY","Governor","Goodman, Robert ""Bob""","5"
"Clark","2501 - COUNTY","Governor","None Of These Candidates","0"
"Clark","2501 - COUNTY","Governor","Sandoval, Brian","18"
"Clark","2501 - COUNTY","Governor","VanDerBeek, David Lory","0"
"Clark","2503 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2503 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2503 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2503 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2600 - LAS","Governor","Goodman, Robert ""Bob""","126"
"Clark","2600 - LAS","Governor","None Of These Candidates","13"
"Clark","2600 - LAS","Governor","Sandoval, Brian","368"
"Clark","2600 - LAS","Governor","VanDerBeek, David Lory","9"
"Clark","2601 - COUNTY","Governor","Goodman, Robert ""Bob""","1"
"Clark","2601 - COUNTY","Governor","None Of These Candidates","0"
"Clark","2601 - COUNTY","Governor","Sandoval, Brian","12"
"Clark","2601 - COUNTY","Governor","VanDerBeek, David Lory","1"
"Clark","2602 - COUNTY","Governor","Goodman, Robert ""Bob""","10"
"Clark","2602 - COUNTY","Governor","None Of These Candidates","8"
"Clark","2602 - COUNTY","Governor","Sandoval, Brian","55"
"Clark","2602 - COUNTY","Governor","VanDerBeek, David Lory","1"
"Clark","2603 - LAS","Governor","Goodman, Robert ""Bob""","121"
"Clark","2603 - LAS","Governor","None Of These Candidates","10"
"Clark","2603 - LAS","Governor","Sandoval, Brian","399"
"Clark","2603 - LAS","Governor","VanDerBeek, David Lory","16"
"Clark","2604 - LAS","Governor","Goodman, Robert ""Bob""","80"
"Clark","2604 - LAS","Governor","None Of These Candidates","13"
"Clark","2604 - LAS","Governor","Sandoval, Brian","203"
"Clark","2604 - LAS","Governor","VanDerBeek, David Lory","10"
"Clark","2605 - LAS","Governor","Goodman, Robert ""Bob""","107"
"Clark","2605 - LAS","Governor","None Of These Candidates","17"
"Clark","2605 - LAS","Governor","Sandoval, Brian","391"
"Clark","2605 - LAS","Governor","VanDerBeek, David Lory","9"
"Clark","2606 - NLV","Governor","Goodman, Robert ""Bob""","154"
"Clark","2606 - NLV","Governor","None Of These Candidates","20"
"Clark","2606 - NLV","Governor","Sandoval, Brian","272"
"Clark","2606 - NLV","Governor","VanDerBeek, David Lory","10"
"Clark","2607 - NLV","Governor","Goodman, Robert ""Bob""","225"
"Clark","2607 - NLV","Governor","None Of These Candidates","12"
"Clark","2607 - NLV","Governor","Sandoval, Brian","223"
"Clark","2607 - NLV","Governor","VanDerBeek, David Lory","12"
"Clark","2609 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2609 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2609 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2609 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2611 - LAS","Governor","Goodman, Robert ""Bob""","136"
"Clark","2611 - LAS","Governor","None Of These Candidates","27"
"Clark","2611 - LAS","Governor","Sandoval, Brian","309"
"Clark","2611 - LAS","Governor","VanDerBeek, David Lory","18"
"Clark","2612 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2612 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2612 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2612 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2613 - LAS","Governor","Goodman, Robert ""Bob""","103"
"Clark","2613 - LAS","Governor","None Of These Candidates","13"
"Clark","2613 - LAS","Governor","Sandoval, Brian","318"
"Clark","2613 - LAS","Governor","VanDerBeek, David Lory","17"
"Clark","2614 - LAS","Governor","Goodman, Robert ""Bob""","120"
"Clark","2614 - LAS","Governor","None Of These Candidates","16"
"Clark","2614 - LAS","Governor","Sandoval, Brian","318"
"Clark","2614 - LAS","Governor","VanDerBeek, David Lory","14"
"Clark","2615 - LAS","Governor","Goodman, Robert ""Bob""","119"
"Clark","2615 - LAS","Governor","None Of These Candidates","7"
"Clark","2615 - LAS","Governor","Sandoval, Brian","423"
"Clark","2615 - LAS","Governor","VanDerBeek, David Lory","18"
"Clark","2616 - NLV","Governor","Goodman, Robert ""Bob""","86"
"Clark","2616 - NLV","Governor","None Of These Candidates","11"
"Clark","2616 - NLV","Governor","Sandoval, Brian","123"
"Clark","2616 - NLV","Governor","VanDerBeek, David Lory","7"
"Clark","2617 - NLV","Governor","Goodman, Robert ""Bob""","113"
"Clark","2617 - NLV","Governor","None Of These Candidates","11"
"Clark","2617 - NLV","Governor","Sandoval, Brian","191"
"Clark","2617 - NLV","Governor","VanDerBeek, David Lory","12"
"Clark","2621 - LAS","Governor","Goodman, Robert ""Bob""","142"
"Clark","2621 - LAS","Governor","None Of These Candidates","18"
"Clark","2621 - LAS","Governor","Sandoval, Brian","380"
"Clark","2621 - LAS","Governor","VanDerBeek, David Lory","10"
"Clark","2622 - LAS","Governor","Goodman, Robert ""Bob""","95"
"Clark","2622 - LAS","Governor","None Of These Candidates","6"
"Clark","2622 - LAS","Governor","Sandoval, Brian","262"
"Clark","2622 - LAS","Governor","VanDerBeek, David Lory","7"
"Clark","2623 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2623 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2623 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2623 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2624 - LAS","Governor","Goodman, Robert ""Bob""","80"
"Clark","2624 - LAS","Governor","None Of These Candidates","15"
"Clark","2624 - LAS","Governor","Sandoval, Brian","306"
"Clark","2624 - LAS","Governor","VanDerBeek, David Lory","4"
"Clark","2625 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2625 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2625 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2625 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2631 - COUNTY","Governor","Goodman, Robert ""Bob""","*"
"Clark","2631 - COUNTY","Governor","None Of These Candidates","*"
"Clark","2631 - COUNTY","Governor","Sandoval, Brian","*"
"Clark","2631 - COUNTY","Governor","VanDerBeek, David Lory","*"
"Clark","2632 - COUNTY","Governor","Goodman, Robert ""Bob""","2"
"Clark","2632 - COUNTY","Governor","None Of These Candidates","2"
"Clark","2632 - COUNTY","Governor","Sandoval, Brian","20"
"Clark","2632 - COUNTY","Governor","VanDerBeek, David Lory","0"
"Clark","2633 - LAS","Governor","Goodman, Robert ""Bob""","55"
"Clark","2633 - LAS","Governor","None Of These Candidates","10"
"Clark","2633 - LAS","Governor","Sandoval, Brian","349"
"Clark","2633 - LAS","Governor","VanDerBeek, David Lory","9"
"Clark","2634 - LAS","Governor","Goodman, Robert ""Bob""","94"
"Clark","2634 - LAS","Governor","None Of These Candidates","5"
"Clark","2634 - LAS","Governor","Sandoval, Brian","260"
"Clark","2634 - LAS","Governor","VanDerBeek, David Lory","7"
"Clark","2635 - LAS","Governor","Goodman, Robert ""Bob""","119"
"Clark","2635 - LAS","Governor","None Of These Candidates","12"
"Clark","2635 - LAS","Governor","Sandoval, Brian","428"
"Clark","2635 - LAS","Governor","VanDerBeek, David Lory","6"
"Clark","2641 - LAS","Governor","Goodman, Robert ""Bob""","*"
"Clark","2641 - LAS","Governor","None Of These Candidates","*"
"Clark","2641 - LAS","Governor","Sandoval, Brian","*"
"Clark","2641 - LAS","Governor","VanDerBeek, David Lory","*"
"Clark","2642 - COUNTY","Governor","Goodman, Robert ""Bob""","3"
"Clark","2642 - COUNTY","Governor","None Of These Candidates","1"
"Clark","2642 - COUNTY","Governor","Sandoval, Brian","24"
"Clark","2642 - COUNTY","Governor","VanDerBeek, David Lory","0"
"Clark","2643 - LAS","Governor","Goodman, Robert ""Bob""","157"
"Clark","2643 - LAS","Governor","None Of These Candidates","19"
"Clark","2643 - LAS","Governor","Sandoval, Brian","546"
"Clark","2643 - LAS","Governor","VanDerBeek, David Lory","4"
"Clark","2644 - COUNTY","Governor","Goodman, Robert ""Bob""","84"
"Clark","2644 - COUNTY","Governor","None Of These Candidates","7"
"Clark","2644 - COUNTY","Governor","Sandoval, Brian","407"
"Clark","2644 - COUNTY","Governor","VanDerBeek, David Lory","10"
"Clark","2645 - COUNTY","Governor","Goodman, Robert ""Bob""","8"
"Clark","2645 - COUNTY","Governor","None Of These Candidates","2"
"Clark","2645 - COUNTY","Governor","Sandoval, Brian","54"
"Clark","2645 - COUNTY","Governor","VanDerBeek, David Lory","0"
"Clark","2650 - LAS","Governor","Goodman, Robert ""Bob""","101"
"Clark","2650 - LAS","Governor","None Of These Candidates","16"
"Clark","2650 - LAS","Governor","Sandoval, Brian","334"
"Clark","2650 - LAS","Governor","VanDerBeek, David Lory","11"
"Clark","2651 - LAS","Governor","Goodman, Robert ""Bob""","64"
"Clark","2651 - LAS","Governor","None Of These Candidates","13"
"Clark","2651 - LAS","Governor","Sandoval, Brian","257"
"Clark","2651 - LAS","Governor","VanDerBeek, David Lory","8"
"Clark","2652 - LAS","Governor","Goodman, Robert ""Bob""","166"
"Clark","2652 - LAS","Governor","None Of These Candidates","10"
"Clark","2652 - LAS","Governor","Sandoval, Brian","371"
"Clark","2652 - LAS","Governor","VanDerBeek, David Lory","20"
"Clark","2653 - COUNTY","Governor","Goodman, Robert ""Bob""","94"
"Clark","2653 - COUNTY","Governor","None Of These Candidates","18"
"Clark","2653 - COUNTY","Governor","Sandoval, Brian","515"
"Clark","2653 - COUNTY","Governor","VanDerBeek, David Lory","6"
"Clark","2654 - LAS","Governor","Goodman, Robert ""Bob""","94"
"Clark","2654 - LAS","Governor","None Of These Candidates","10"
"Clark","2654 - LAS","Governor","Sandoval, Brian","301"
"Clark","2654 - LAS","Governor","VanDerBeek, David Lory","8"
"Clark","2655 - LAS","Governor","Goodman, Robert ""Bob""","97"
"Clark","2655 - LAS","Governor","None Of These Candidates","12"
"Clark","2655 - LAS","Governor","Sandoval, Brian","397"
"Clark","2655 - LAS","Governor","VanDerBeek, David Lory","5"
"Clark","2660 - LAS","Governor","Goodman, Robert ""Bob""","45"
"Clark","2660 - LAS","Governor","None Of These Candidates","7"
"Clark","2660 - LAS","Governor","Sandoval, Brian","209"
"Clark","2660 - LAS","Governor","VanDerBeek, David Lory","5"
"Clark","2661 - LAS","Governor","Goodman, Robert ""Bob""","143"
"Clark","2661 - LAS","Governor","None Of These Candidates","16"
"Clark","2661 - LAS","Governor","Sandoval, Brian","437"
"Clark","2661 - LAS","Governor","VanDerBeek, David Lory","15"
"Clark","2662 - LAS","Governor","Goodman, Robert ""Bob""","25"
"Clark","2662 - LAS","Governor","None Of These Candidates","1"
"Clark","2662 - LAS","Governor","Sandoval, Brian","63"
"Clark","2662 - LAS","Governor","VanDerBeek, David Lory","1"
"Clark","2663 - LAS","Governor","Goodman, Robert ""Bob""","74"
"Clark","2663 - LAS","Governor","None Of These Candidates","12"
